Category,Sl No,Detail of the package, Lowest , Premium ,Description,Delivery Type,Package Discount,Stage of student
Exam Coaching,1,Step 1/ 2/ 3 Crash Course, $ 99.00 , $ 200.00 ,"Its a recorded vidoes 6 hrs each video for 10 days, 
This is helpful for the ppl whoa re liiking for the revision ",Recorded,,MS1
Exam Coaching,2,Step 1  and Step 2 coaching , $ , $                800/ 1500/ 2500 ,"$800 -  2 session recrded / $1500 - All 3 session live  
/ $2500 - All 3 session live with resourses ",Live session ,,
Exam Coaching,3,Step 3 CK , $ , $ 300.00 ,In this we give crash course for the step 2 and along with this we give ck guidence ,Recorded,,
Exam Coaching,4,Mentorship call , $ , $ 200.00 ,In this they connect witth a mentor who have cleared the steps ,Personlized Service,,
Exam Coaching,5,Guidence call  , $ , $ 19.00 ,This is given by Kanika as of now she can expain the studnets for the pathway ,Personlized Service,,
Research,6,Research Catalyst, $ ," $ 3,500.00 ",A 12-Month Guided Pathway to Publication,Live session ,,
Research,7,Original Research, $ , $ 499.00 ,Case report or original study with full mentor guidance through publication.,Live session ,,
Research,8,Review Paper/ abstract , $ , $ 199.00 ,Guided review paper with mentor support. Perfect first publication for your CV.,Live session ,,
MATCH Application,9,Rotation , $ ,   $                     4500 to $1900 ,Refer the roation documnet for the more information ,Personlized Service,,MS1
MATCH Application,10,PS3x™ Personal Statement Transformation, $ 249.00 , $ 649.00 ,We help them making a personalized PS and they will be made without using AI ,Personlized Service,,Match applicant
MATCH Application,11,ERAS CV 3X™ Overhaul, $ 499.00 ," $ 1,199.00 ",We will review the ERAS application we will also help them in structure ,Personlized Service,,
MATCH Application,12,Match packages , $ ," $      $1,499/ $3,499/$5,999 ","We have 3 packages for this and all the three are 
differnt from each other refer the webiste for the differece",Personlized Service,,
Post Application,13,1-on-1 Interview Training By Physician, $ 399.00 ," $ 4,999.00 ","$1399: 1-1 Session with a Physician Advisor, 1 x 4 Hour Sessions
Mock Session + Personalized Feedback, Access to our advanced
 interviewing online course by Manik Madaan 

$850: 1-1 Session, 1×2 hours sessions 
Access to advanced interviewing course by Manik for a month 

$350: 1 hour session, No access to manik course
",Personlized Service,,
,4,,,,,,,
,5,MATCH Advising (1:1 Weekly Mentor Guidance)," $ 3,499.00 "," $ 6,000.00 ",,Listed Package,,
Exam Coaching,6,Complete Research Program," $ 3,500.00 "," $ 6,000.00 ","1 Review, 1 Case report, 2 Original studies. Difference is experienced mentor",Listed Package,,MS1
Exam Coaching,7,,,,,,,MATCH Final Step
MATCH Application,10,,,,,,,MATCH Final Step
MATCH Application,11,Residency Program List, $ 700.00 ," $ 1,499.00 ","Database has previous SOAP programs, Updated Program list.",Listed Package,,MATCH Final Step
Post Application,14,Complete Program List 150 vs 70 Programs, $ 249.00 , $ 750.00 ,We will help you to make a personalized list according to your profile ,Personlized Service,,
Post Application,13,Signaling Advising, $ 249.00 , $ 750.00 ,We will do signals for you in the premium one and reach out to our contacts to see if you are a fit. ,Personlized Service,,MATCH Final Step
MATCH Application,14,,,,,,,Match applicant
MATCH Application,16,Letters of Recommendation (LoRs) Revisions, $ 150.00 , $ 400.00 ,We will wirte the Lor and we will help them to draft ,Personlized Service,,MATCH Final Step
Post Application,17,Letters of Interest/Intent, $ 150.00 , $ 400.00 ,"Interest:I am int in your program please me its that letter you need to send this for asking interview /
Intenet: Specific, you like about the program not general ",Personlized Service,,MATCH Final Step
Post Application,18,Thank You Letters, $ 150.00 , $ 400.00 ,After the interview you send them a thank you letter ,Personlized Service,,
Post Application,19,Communication Emails, $ 150.00 , $ 400.00 ,,Personlized Service,,
,20,1-on-1 Interview Training, $ 450.00 ," $ 1,399.00 ",,,,
,21,Networking Support, $ 300.00 , $ 700.00 ,,,,
MATCH Application,22,SOAP & Emergency Support, $ 999.00 ," $ 1,899.00 ",,,,MS1
,23,Scramble Support, $ 999.00 ," $ 1,899.00 ",,,,
Research,25,Extensive research and specialty resources,,,,,,
Research,26,Research Cohort Access, $ 99.00 ,,Free 6 session and paid 12 sessions of total 18 sessions,,,
Exam Coaching,27,Meta Analysis Workshop and publication, $ 150.00 , $ 300.00 ,,,,MS1
Exam Coaching,28,Basics of research ( Beginning ), $ 15.00 , $ 35.00 ,,,,Step 2A
Exam Coaching,20,Step 1 High Yield Rapid Concepts , $ 39.00 , $ 39.00 ,,Recorded,,
Exam Coaching,21,Step 2 High Yield Rapid Concepts , $ 39.00 , $ 39.00 ,,Recorded,,
,36,,,,,,,
MATCH Application,22,Visa guidance , $ , $ 500.00 ,We will help from the documnet prospective / visa interview bookeing ,Personlized Service,,
MATCH Application,23,Letter of invitation, $ , $ 150.00 ,"We will only give this to someone who has roation but dont have LOI
/ Anyone who take roation from us we give thema also  ",Personlized Service,,
Research,24,Research Masterclass, $ , $ 19.00 ,,Recorded,,